rank,mrmr_mean,mrmr_max
134,"value__fft_coefficient__attr_""imag""__coeff_43","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max"""
135,"value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""angle""__coeff_56"
136,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2"
137,"value__fft_coefficient__attr_""real""__coeff_61","value__fft_coefficient__attr_""real""__coeff_97"
138,"value__fft_coefficient__attr_""abs""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_25"
139,value__first_location_of_minimum,"value__fft_coefficient__attr_""angle""__coeff_64"
140,value__index_mass_quantile__q_0.2,"value__fft_coefficient__attr_""real""__coeff_65"
141,"value__fft_coefficient__attr_""abs""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_35"
142,"value__fft_coefficient__attr_""imag""__coeff_9","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
143,"value__fft_coefficient__attr_""abs""__coeff_9","value__fft_coefficient__attr_""angle""__coeff_77"
144,"value__fft_coefficient__attr_""angle""__coeff_72","value__fft_coefficient__attr_""imag""__coeff_30"
145,"value__fft_coefficient__attr_""real""__coeff_10","value__fft_coefficient__attr_""angle""__coeff_96"
146,value__autocorrelation__lag_2,"value__fft_coefficient__attr_""real""__coeff_58"
147,"value__fft_coefficient__attr_""imag""__coeff_17","value__fft_coefficient__attr_""angle""__coeff_76"
148,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""angle""__coeff_53"
149,"value__fft_coefficient__attr_""abs""__coeff_15","value__fft_coefficient__attr_""angle""__coeff_95"
150,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_27"
151,"value__fft_coefficient__attr_""angle""__coeff_76",value__ar_coefficient__coeff_4__k_10
152,value__ratio_beyond_r_sigma__r_2.5,"value__fft_coefficient__attr_""angle""__coeff_71"
153,"value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""angle""__coeff_38"
154,value__mean_change,"value__fft_coefficient__attr_""real""__coeff_96"
155,value__ratio_beyond_r_sigma__r_6,"value__fft_aggregated__aggtype_""centroid"""
156,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_70"
157,value__has_duplicate,"value__fft_coefficient__attr_""angle""__coeff_37"
158,"value__fft_coefficient__attr_""real""__coeff_88","value__fft_coefficient__attr_""real""__coeff_68"
159,"value__linear_trend__attr_""pvalue""","value__fft_coefficient__attr_""imag""__coeff_83"
160,"value__fft_coefficient__attr_""angle""__coeff_39","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)"
161,"value__fft_coefficient__attr_""abs""__coeff_43","value__fft_coefficient__attr_""real""__coeff_42"
162,"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","value__fft_coefficient__attr_""imag""__coeff_32"
163,value__number_peaks__n_1,value__large_standard_deviation__r_0.35000000000000003
164,"value__fft_coefficient__attr_""real""__coeff_86","value__fft_coefficient__attr_""abs""__coeff_54"
165,"value__fft_coefficient__attr_""angle""__coeff_46","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min"""
166,"value__fft_coefficient__attr_""abs""__coeff_56","value__fft_coefficient__attr_""abs""__coeff_3"
167,"value__fft_coefficient__attr_""imag""__coeff_83","value__fft_coefficient__attr_""real""__coeff_9"
168,value__autocorrelation__lag_4,"value__fft_coefficient__attr_""angle""__coeff_28"
169,value__time_reversal_asymmetry_statistic__lag_2,"value__fft_coefficient__attr_""imag""__coeff_2"
170,value__approximate_entropy__m_2__r_0.1,"value__fft_coefficient__attr_""angle""__coeff_50"
171,"value__fft_coefficient__attr_""imag""__coeff_13","value__fft_coefficient__attr_""real""__coeff_27"
172,value__mean_second_derivative_central,"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC"""
173,"value__fft_coefficient__attr_""abs""__coeff_73","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2"
174,"value__fft_coefficient__attr_""imag""__coeff_52","value__fft_coefficient__attr_""abs""__coeff_97"
175,value__absolute_sum_of_changes,value__approximate_entropy__m_2__r_0.1
176,"value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_43"
177,"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_10"
178,"value__fft_coefficient__attr_""abs""__coeff_80","value__fft_coefficient__attr_""imag""__coeff_26"
179,"value__fft_coefficient__attr_""angle""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_24"
180,"value__fft_coefficient__attr_""imag""__coeff_24","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
181,value__ar_coefficient__coeff_10__k_10,"value__fft_coefficient__attr_""angle""__coeff_86"
182,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__linear_trend__attr_""stderr"""
183,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_48"
184,"value__fft_coefficient__attr_""abs""__coeff_10",value__variance_larger_than_standard_deviation
185,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""abs""__coeff_2"
186,"value__fft_aggregated__aggtype_""skew""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max"""
187,"value__fft_coefficient__attr_""angle""__coeff_98","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
188,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,value__range_count__max_1__min_-1
189,"value__fft_coefficient__attr_""imag""__coeff_97","value__fft_coefficient__attr_""abs""__coeff_66"
190,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_43"
191,"value__fft_coefficient__attr_""abs""__coeff_49","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
192,value__ratio_beyond_r_sigma__r_5,"value__fft_coefficient__attr_""abs""__coeff_4"
193,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_87"
194,value__number_peaks__n_50,"value__fft_coefficient__attr_""imag""__coeff_37"
195,"value__fft_coefficient__attr_""abs""__coeff_93",value__number_cwt_peaks__n_5
196,"value__fft_coefficient__attr_""angle""__coeff_74","value__fft_coefficient__attr_""angle""__coeff_30"
197,"value__fft_coefficient__attr_""angle""__coeff_10","value__fft_coefficient__attr_""real""__coeff_5"
198,"value__fft_coefficient__attr_""abs""__coeff_26","value__fft_coefficient__attr_""angle""__coeff_20"
199,"value__fft_coefficient__attr_""imag""__coeff_48","value__fft_aggregated__aggtype_""kurtosis"""
200,"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_29"
201,"value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""real""__coeff_70"
202,"value__fft_coefficient__attr_""angle""__coeff_55","value__fft_coefficient__attr_""angle""__coeff_59"
203,"value__fft_coefficient__attr_""real""__coeff_21","value__fft_coefficient__attr_""real""__coeff_89"
204,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6"
205,"value__fft_coefficient__attr_""real""__coeff_44","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min"""
206,"value__fft_coefficient__attr_""abs""__coeff_27","value__fft_coefficient__attr_""angle""__coeff_40"
207,value__permutation_entropy__dimension_7__tau_1,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5
208,"value__fft_coefficient__attr_""imag""__coeff_55","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4"
209,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","value__fft_coefficient__attr_""real""__coeff_71"
210,"value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""abs""__coeff_73"
211,"value__fft_coefficient__attr_""abs""__coeff_28",value__ratio_beyond_r_sigma__r_2
212,value__lempel_ziv_complexity__bins_10,"value__fft_coefficient__attr_""imag""__coeff_82"
213,"value__fft_aggregated__aggtype_""centroid""","value__fft_coefficient__attr_""imag""__coeff_90"
214,"value__fft_coefficient__attr_""imag""__coeff_82","value__fft_coefficient__attr_""imag""__coeff_3"
215,value__index_mass_quantile__q_0.9,"value__fft_coefficient__attr_""real""__coeff_11"
216,value__ar_coefficient__coeff_5__k_10,"value__fft_coefficient__attr_""real""__coeff_91"
217,"value__fft_coefficient__attr_""imag""__coeff_50","value__fft_coefficient__attr_""angle""__coeff_33"
218,"value__fft_coefficient__attr_""imag""__coeff_51","value__fft_coefficient__attr_""imag""__coeff_10"
219,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__fft_coefficient__attr_""angle""__coeff_73"
220,"value__fft_coefficient__attr_""angle""__coeff_75","value__fft_coefficient__attr_""abs""__coeff_23"
221,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__fft_coefficient__attr_""real""__coeff_83"
222,"value__fft_coefficient__attr_""imag""__coeff_46","value__fft_coefficient__attr_""angle""__coeff_81"
223,value__number_peaks__n_10,"value__fft_coefficient__attr_""angle""__coeff_9"
224,"value__fft_coefficient__attr_""real""__coeff_40","value__fft_coefficient__attr_""imag""__coeff_52"
225,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""abs""__coeff_16"
226,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0"
227,"value__fft_coefficient__attr_""real""__coeff_47","value__fft_coefficient__attr_""real""__coeff_55"
228,"value__fft_coefficient__attr_""angle""__coeff_99",value__partial_autocorrelation__lag_2
229,value__permutation_entropy__dimension_4__tau_1,"value__fft_coefficient__attr_""real""__coeff_66"
230,"value__fft_coefficient__attr_""angle""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_84"
231,value__longest_strike_below_mean,"value__fft_coefficient__attr_""abs""__coeff_80"
232,value__ratio_beyond_r_sigma__r_10,"value__linear_trend__attr_""pvalue"""
233,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",value__partial_autocorrelation__lag_4
234,"value__fft_coefficient__attr_""real""__coeff_72","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max"""
235,value__ar_coefficient__coeff_8__k_10,value__symmetry_looking__r_0.15000000000000002
236,"value__fft_coefficient__attr_""abs""__coeff_45","value__fft_coefficient__attr_""angle""__coeff_21"
237,value__partial_autocorrelation__lag_4,"value__fft_coefficient__attr_""angle""__coeff_17"
238,"value__fft_coefficient__attr_""angle""__coeff_27","value__fft_coefficient__attr_""real""__coeff_26"
239,"value__fft_coefficient__attr_""abs""__coeff_91",value__autocorrelation__lag_7
240,"value__fft_coefficient__attr_""angle""__coeff_65","value__fft_coefficient__attr_""imag""__coeff_22"
241,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","value__fft_coefficient__attr_""imag""__coeff_16"
242,"value__fft_coefficient__attr_""real""__coeff_48",value__ar_coefficient__coeff_0__k_10
243,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_55"
244,"value__fft_coefficient__attr_""imag""__coeff_14",value__ar_coefficient__coeff_6__k_10
245,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",value__friedrich_coefficients__coeff_3__m_3__r_30
246,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__fft_coefficient__attr_""real""__coeff_50"
247,"value__fft_coefficient__attr_""angle""__coeff_38","value__fft_coefficient__attr_""real""__coeff_60"
248,"value__fft_coefficient__attr_""real""__coeff_9","value__fft_coefficient__attr_""imag""__coeff_11"
249,"value__fft_coefficient__attr_""angle""__coeff_87","value__fft_coefficient__attr_""angle""__coeff_26"
250,value__autocorrelation__lag_8,"value__fft_coefficient__attr_""real""__coeff_67"
251,"value__fft_coefficient__attr_""real""__coeff_54",value__has_duplicate
252,value__range_count__max_0__min_-1000000000000.0,"value__fft_coefficient__attr_""imag""__coeff_7"
253,"value__fft_coefficient__attr_""imag""__coeff_90","value__fft_coefficient__attr_""real""__coeff_23"
254,"value__fft_coefficient__attr_""real""__coeff_57","value__fft_coefficient__attr_""real""__coeff_76"
255,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__fft_coefficient__attr_""real""__coeff_51"
256,"value__fft_coefficient__attr_""angle""__coeff_1","value__fft_coefficient__attr_""imag""__coeff_1"
257,"value__fft_coefficient__attr_""imag""__coeff_28","value__fft_coefficient__attr_""real""__coeff_34"
258,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","value__fft_coefficient__attr_""abs""__coeff_13"
259,"value__fft_coefficient__attr_""abs""__coeff_36","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min"""
260,value__fourier_entropy__bins_5,"value__fft_coefficient__attr_""real""__coeff_25"
261,"value__fft_coefficient__attr_""abs""__coeff_21","value__fft_coefficient__attr_""real""__coeff_38"
262,"value__fft_coefficient__attr_""abs""__coeff_62","value__fft_coefficient__attr_""abs""__coeff_93"
