rank,mrmr_mean,mrmr_max
168,"value__fft_coefficient__attr_""imag""__coeff_74","value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC"""
169,value__partial_autocorrelation__lag_2,"value__fft_coefficient__attr_""real""__coeff_50"
170,"value__fft_aggregated__aggtype_""variance""","value__fft_coefficient__attr_""real""__coeff_59"
171,"value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_4"
172,"value__fft_coefficient__attr_""imag""__coeff_45",value__first_location_of_maximum
173,"value__fft_coefficient__attr_""abs""__coeff_64","value__fft_coefficient__attr_""imag""__coeff_34"
174,value__spkt_welch_density__coeff_5,"value__fft_coefficient__attr_""real""__coeff_71"
175,"value__fft_coefficient__attr_""angle""__coeff_22","value__fft_coefficient__attr_""real""__coeff_40"
176,value__lempel_ziv_complexity__bins_100,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2"
177,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6
178,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_95"
179,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__fft_coefficient__attr_""real""__coeff_24"
180,"value__fft_coefficient__attr_""abs""__coeff_44","value__fft_coefficient__attr_""real""__coeff_97"
181,"value__fft_coefficient__attr_""real""__coeff_90","value__fft_coefficient__attr_""real""__coeff_32"
182,value__sum_of_reoccurring_values,"value__fft_coefficient__attr_""imag""__coeff_37"
183,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_75"
184,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2","value__fft_coefficient__attr_""real""__coeff_17"
185,value__autocorrelation__lag_2,"value__fft_coefficient__attr_""real""__coeff_41"
186,"value__fft_coefficient__attr_""imag""__coeff_26","value__fft_coefficient__attr_""imag""__coeff_64"
187,value__index_mass_quantile__q_0.2,"value__fft_coefficient__attr_""real""__coeff_88"
188,"value__fft_coefficient__attr_""real""__coeff_99","value__fft_coefficient__attr_""real""__coeff_57"
189,"value__fft_coefficient__attr_""real""__coeff_98","value__fft_coefficient__attr_""real""__coeff_55"
190,"value__fft_coefficient__attr_""abs""__coeff_19","value__fft_coefficient__attr_""real""__coeff_5"
191,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","value__fft_coefficient__attr_""real""__coeff_92"
192,"value__fft_coefficient__attr_""angle""__coeff_10","value__fft_coefficient__attr_""real""__coeff_2"
193,value__symmetry_looking__r_0.1,"value__fft_coefficient__attr_""imag""__coeff_45"
194,"value__fft_coefficient__attr_""angle""__coeff_95","value__fft_coefficient__attr_""real""__coeff_34"
195,value__approximate_entropy__m_2__r_0.5,"value__fft_coefficient__attr_""imag""__coeff_1"
196,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""imag""__coeff_2"
197,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",value__fourier_entropy__bins_5
198,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"value__fft_coefficient__attr_""real""__coeff_93"
199,"value__fft_coefficient__attr_""imag""__coeff_79","value__fft_coefficient__attr_""real""__coeff_28"
200,"value__fft_coefficient__attr_""imag""__coeff_94","value__fft_coefficient__attr_""real""__coeff_21"
