rank,mrmr_mean,mrmr_max
120,"value__fft_coefficient__attr_""abs""__coeff_66","value__fft_coefficient__attr_""angle""__coeff_90"
121,value__partial_autocorrelation__lag_6,"value__fft_coefficient__attr_""angle""__coeff_0"
122,"value__fft_coefficient__attr_""imag""__coeff_11","value__fft_coefficient__attr_""imag""__coeff_29"
123,"value__fft_coefficient__attr_""abs""__coeff_29",value__approximate_entropy__m_2__r_0.7
124,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",value__ar_coefficient__coeff_8__k_10
125,"value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""real""__coeff_94"
126,value__number_crossing_m__m_0,value__ar_coefficient__coeff_10__k_10
127,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_22"
128,"value__fft_coefficient__attr_""real""__coeff_61","value__fft_coefficient__attr_""real""__coeff_19"
129,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__fft_coefficient__attr_""real""__coeff_46"
130,value__index_mass_quantile__q_0.1,"value__fft_coefficient__attr_""real""__coeff_95"
131,"value__fft_coefficient__attr_""imag""__coeff_43",value__ar_coefficient__coeff_5__k_10
132,value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""angle""__coeff_89"
133,"value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""imag""__coeff_97"
134,value__last_location_of_minimum,"value__fft_coefficient__attr_""angle""__coeff_41"
135,"value__fft_coefficient__attr_""abs""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_88"
136,"value__fft_coefficient__attr_""real""__coeff_10","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2"
137,value__autocorrelation__lag_2,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max"""
138,"value__fft_coefficient__attr_""abs""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_56"
139,"value__fft_coefficient__attr_""angle""__coeff_72","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2"
140,"value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""real""__coeff_97"
141,"value__fft_coefficient__attr_""abs""__coeff_9","value__fft_coefficient__attr_""angle""__coeff_25"
142,"value__fft_coefficient__attr_""imag""__coeff_17",value__mean_second_derivative_central
143,value__lempel_ziv_complexity__bins_2,"value__fft_coefficient__attr_""angle""__coeff_64"
144,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_65"
145,"value__fft_coefficient__attr_""angle""__coeff_76","value__fft_coefficient__attr_""angle""__coeff_35"
146,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
147,value__first_location_of_minimum,"value__fft_coefficient__attr_""angle""__coeff_77"
148,"value__fft_coefficient__attr_""abs""__coeff_15","value__fft_coefficient__attr_""imag""__coeff_30"
149,value__mean_second_derivative_central,"value__fft_coefficient__attr_""angle""__coeff_96"
150,"value__fft_coefficient__attr_""real""__coeff_88","value__fft_coefficient__attr_""real""__coeff_58"
151,value__absolute_sum_of_changes,"value__fft_coefficient__attr_""angle""__coeff_76"
152,value__mean_change,"value__fft_coefficient__attr_""angle""__coeff_53"
153,"value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""angle""__coeff_95"
154,"value__fft_coefficient__attr_""angle""__coeff_46","value__fft_coefficient__attr_""angle""__coeff_27"
155,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","value__fft_coefficient__attr_""angle""__coeff_71"
156,"value__fft_coefficient__attr_""angle""__coeff_39",value__ar_coefficient__coeff_4__k_10
157,value__approximate_entropy__m_2__r_0.1,"value__fft_coefficient__attr_""angle""__coeff_38"
158,"value__fft_coefficient__attr_""real""__coeff_86","value__fft_coefficient__attr_""real""__coeff_96"
159,"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_70"
